day	habitat	location	ID	status	time	timeday
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.3	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.4	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/1/2023	urban 	university	UP1.5	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.1	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.2	0	120	morning
8/2/2023	forest	plantation	plantation1.3	1	55	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/2/2023	forest	plantation	plantation1.3	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.1	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.2	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.3	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/3/2023	urban 	university	UP2.4	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber1	0	120	morning
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
8/15/2023	urban 	ciudad del saber	saber2	0	120	midday
